,contract address,Token_id,sales_price,timestamp,owner_id,bids_count,sales_count,parcels_list,parcels_count,status (label),"adjacency [road, district, plaza]",coordination-est,mana_price,land_price
998,0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d,115792089237316195423570985008687907807672147498234809935365386612056189304756,4799000000000000000000,1641699186000,0xdc4946176117d56207d488e06abcc590dfc7f15c,1,3,"['-135,-76']",1,parcel,"[[1, 0, 0]]","[-135.0, -76.0]",2.954629844358916,1.4179268623078437e+22
999,0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d,9187623906865338513511114400657741709440,4988000000000000000000,1641283368000,0xd114a5f747655a5a49b2dea7edda923eff109c5d,1,2,"['27,128']",1,parcel,"[[0, 0, 0]]","[27.0, 128.0]",3.2654965487737213,1.6288296785283322e+22
1000,0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d,115792089237316195423570985008687907852249137564877748649067460185617825005446,6940000000000000000000,1643886492000,0x959e104e1a4db6317fa58f8295f586e1a978c297,0,1,[],0,,[],[0],2.559175162581649,1.7760675628316642e+22
1001,0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d,6465364971497830805804117541203596017673,8888000000000000000000,1645610066000,0xb2e19dd996848818d972dd3a60a1b7faffb82330,0,1,"['-150,-137', '-132,-45', '-96,-88', '-56,-18', '-37,49', '2,34', '3,40', '10,13', '12,-31', '18,15', '19,10', '19,9', '19,8', '20,11', '20,10', '20,9', '21,20', '21,19', '21,18', '23,11', '67,-121', '71,29']",22,road,"[[0, 0, 0], [0, 0, 0], [0, 0, 0], [4, 7, 0], [0, 2, 0], [0, 0, 0], [1, 0, 0], [1, 0, 3], [2, 0, 0], [5, 0, 7], [6, 0, 8], [6, 0, 8], [6, 0, 8], [7, 0, 9], [7, 0, 9], [7, 0, 9], [8, 0, 0], [8, 0, 0], [8, 0, 0], [9, 0, 0], [3, 6, 0], [0, 3, 0]]","[-3.8636363636363638, -6.136363636363637]",2.646401249777144,2.3521214308019253e+22
1002,0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d,115792089237316195423570985008687907852929702298719625575994209400481361428496,26000000000000000000000,1646084727000,0xe0faba4256e2ca17442dc54e59c1c3f6ef8c216e,1,1,"['-1,16', '2,-46', '2,-47', '7,-18']",4,road,"[[0, 0, 6], [0, 0, 0], [0, 0, 0], [0, 0, 8]]","[2.5, -23.75]",2.850489929171568,7.411273815846078e+22
1003,0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d,10208471007628153903901238222953046343605,6250000000000000000000,1642586969000,0x308ee9921f463649223852b56ec83530bf3177e9,0,2,"['28,-75', '29,-75']",2,road,"[[0, 0, 0], [0, 0, 0]]","[28.5, -75.0]",2.8616232703619104,1.7885145439761938e+22
1004,0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d,5444517870735015415413993718908291383232,6000000000000000000000,1643650515000,0x762c86cbd4e0b88d8d734ec8507b29e00d09b4fd,1,3,"['-6,-58', '15,-64']",2,road,"[[2, 0, 0], [0, 0, 7]]","[4.5, -61.0]",2.838711845336331,1.7032271072017986e+22
1005,0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d,115792089237316195423570985008687907812776383002048886887316005723532712476617,6199000000000000000000,1645293933000,0x506c8d9b81b716250da8d5eb8412d0f2fcf8672a,0,2,"['-120,-55']",1,parcel,"[[0, 0, 0]]","[-120.0, -55.0]",2.910514160240482,1.8042277279330747e+22
1006,0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d,115792089237316195423570985008687907835235019218830825475898729814029414432634,5000000000000000000000,1642420123000,0x83064b8490d039fead8eb8947bdf0e82f583eca7,1,3,"['-54,-133', '-54,-134']",2,road,"[[0, 0, 0], [0, 0, 0]]","[-54.0, -133.5]",3.124674912948848,1.562337456474424e+22
1007,0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d,115792089237316195423570985008687907807672147498234809935365386612056189304708,4799000000000000000000,1644140688000,0xa4fe5ae07b33ca246757e747bedc6575f1b07fda,2,6,"['-135,-124', '-71,-116']",2,road,"[[0, 0, 0], [0, 0, 0]]","[-103.0, -120.0]",3.047315041602274,1.4624064884649312e+22
1008,0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d,115792089237316195423570985008687907843742078391854287062483094999823619719067,5777000000000000000000,1644421323000,0xa9a41fded34fe515c840aa8e7032f575a5aae11a,0,1,"['-29,-101']",1,parcel,"[[0, 0, 0]]","[-29.0, -101.0]",3.3539721443673747,1.9375897078010323e+22
